Arg, 3.68
His, 1.94
Ile, 3.09
Leu, 5.52
Lys, 4.79
Met,
Cys,
Phe,
Tyr,
Thr,
Val,
Asp
Ser,
Glu,
Ala,
Pro,
Gly,
